price_in_rs,os,display_in_inch,rating,no_of_ratings,no_of_reviews,laptop,processor_manufacturer,processor_generation,number_of_cores,ram_in_gb,storage_type,primary_storage_size
42490,windows 11 operating system,15.6,4.2,440.0,40.0,dell,intel,11,11,8,hdd ssd,1000.0
95990,64 bit windows 10 operating system,15.6,4.5,473.0,71.0,acer,intel,11,11,16,hdd ssd,1000.0
44290,64 bit windows 11 operating system,15.6,3.1,15.0,3.0,dell,intel,11,11,8,ssd,512.0
63550,64 bit windows 11 operating system,14.0,4.4,218.0,19.0,hp,amd,1,1,16,ssd,512.0
119990,64 bit windows 11 operating system,15.6,4.4,29.0,8.0,msi,intel,12,12,16,ssd,1000.0
129990,mac os operating system,13.3,4.7,719.0,83.0,apple,apple,1,1,16,ssd,512.0
161990,64 bit windows 11 operating system,15.6,3.8,5.0,1.0,asus,amd,1,1,16,ssd,1000.0
47990,64 bit windows 11 operating system,15.6,4.5,6.0,1.0,infinix,intel,11,11,16,ssd,512.0
73990,64 bit windows 10 operating system,15.6,4.5,52.0,9.0,dell,amd,1,1,16,ssd,512.0
307990,mac os operating system,16.2,4.3,13.0,5.0,apple,apple,1,1,32,ssd,1000.0
45990,windows 11 operating system,15.6,3.9,16.0,0.0,asus,intel,12,12,8,ssd,512.0
27990,64 bit windows 11 operating system,15.6,4.0,108.0,11.0,lenovo,intel,1,1,8,ssd,256.0
62050,64 bit windows 10 operating system,15.6,4.4,2547.0,319.0,msi,intel,11,11,8,ssd,512.0
52990,64 bit windows 11 operating system,15.6,4.3,26.0,6.0,infinix,intel,11,11,16,ssd,512.0
58490,windows 11 operating system,15.6,-1.0,-1.0,-1.0,msi,intel,12,12,16,ssd,512.0
56990,windows 11 operating system,14.0,4.5,18.0,1.0,asus,intel,12,12,8,ssd,512.0
41190,64 bit windows 11 operating system,15.6,4.3,78.0,3.0,dell,amd,1,1,8,ssd,512.0
57990,64 bit windows 11 operating system,15.6,3.9,30.0,2.0,dell,intel,12,12,8,ssd,512.0
85990,64 bit windows 11 operating system,15.6,4.3,61.0,7.0,hp,intel,12,12,8,ssd,512.0
55990,windows 11 operating system,15.6,4.3,2648.0,228.0,lenovo,intel,11,11,8,ssd,512.0
44990,64 bit windows 11 operating system,14.0,4.4,144.0,13.0,asus,intel,11,11,8,ssd,256.0
32000,64 bit windows 11 operating system,15.6,4.1,329.0,32.0,dell,intel,1,1,8,ssd,256.0
89990,windows 11 operating system,14.0,4.0,24.0,5.0,asus,intel,12,12,16,ssd,512.0
88900,64 bit windows 11 operating system,15.6,4.0,24.0,2.0,hp,intel,12,12,16,ssd,1000.0
41990,64 bit windows 11 operating system,15.6,4.3,348.0,47.0,asus,intel,11,11,8,ssd,512.0
89990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,lenovo,amd,1,1,16,ssd,512.0
44490,64 bit windows 10 operating system,14.0,4.3,222.0,28.0,asus,intel,11,11,8,ssd,512.0
47990,64 bit windows 11 operating system,15.6,4.6,8.0,0.0,lenovo,amd,1,1,8,ssd,512.0
72990,windows 11 operating system,15.6,4.2,6.0,0.0,samsung,intel,12,12,16,ssd,512.0
65990,64 bit windows 11 operating system,15.6,4.5,121.0,7.0,asus,intel,10,10,8,ssd,1000.0
56990,64 bit windows 11 operating system,15.6,4.5,758.0,80.0,asus,amd,1,1,16,ssd,512.0
34690,32 bit windows 11 operating system,14.0,4.0,66.0,2.0,hp,intel,11,11,8,ssd,512.0
213894,mac os operating system,14.2,4.8,119.0,14.0,apple,apple,1,1,16,ssd,1000.0
35990,64 bit windows 11 operating system,15.6,4.1,193.0,17.0,asus,intel,10,10,8,ssd,512.0
50499,64 bit windows 11 operating system,14.0,4.2,225.0,18.0,hp,amd,1,1,16,ssd,512.0
170990,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,msi,intel,12,12,16,ssd,1000.0
40990,64 bit windows 11 operating system,15.6,4.0,168.0,8.0,acer,intel,11,11,8,ssd,512.0
78190,64 bit windows 11 operating system,13.3,4.5,8.0,0.0,dell,intel,12,12,16,ssd,512.0
43490,64 bit windows 11 operating system,15.6,4.4,9.0,1.0,dell,amd,1,1,8,ssd,512.0
49990,64 bit windows 11 operating system,15.6,4.2,157.0,16.0,asus,intel,11,11,8,ssd,512.0
199900,mac os operating system,14.0,-1.0,-1.0,-1.0,apple,apple,2,2,16,ssd,512.0
99990,64 bit windows 11 operating system,15.6,5.0,3.0,0.0,dell,amd,1,1,16,ssd,512.0
36990,64 bit windows 11 operating system,14.0,3.8,5.0,1.0,dell,amd,1,1,8,ssd,256.0
224990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,asus,amd,1,1,32,ssd,2000.0
56990,64 bit windows 11 operating system,15.6,4.5,758.0,80.0,asus,amd,1,1,16,ssd,512.0
121990,mac os operating system,13.3,4.7,22.0,1.0,apple,apple,2,2,8,ssd,256.0
87990,64 bit windows 11 operating system,15.6,4.5,1224.0,158.0,asus,amd,1,1,8,ssd,512.0
42900,64 bit windows 11 operating system,15.6,4.2,673.0,76.0,lenovo,amd,1,1,8,ssd,512.0
88490,64 bit windows 11 operating system,15.6,5.0,7.0,1.0,dell,amd,1,1,16,ssd,512.0
46990,64 bit windows 11 operating system,14.0,4.2,12.0,2.0,asus,intel,12,12,8,ssd,512.0
89990,64 bit windows 11 operating system,15.6,4.4,80.0,12.0,asus,intel,12,12,16,ssd,512.0
140990,64 bit windows 11 operating system,15.6,4.0,5.0,0.0,msi,intel,12,12,16,ssd,1000.0
106490,mac os operating system,13.3,4.7,719.0,83.0,apple,apple,1,1,16,ssd,256.0
25990,64 bit chrome operating system,14.0,4.2,24.0,4.0,hp,intel,1,1,4,ssd,256.0
79990,64 bit windows 11 operating system,15.6,4.1,35.0,5.0,dell,intel,12,12,8,ssd,512.0
89990,windows 11 operating system,13.3,-1.0,-1.0,-1.0,dell,intel,12,12,16,ssd,512.0
72990,64 bit windows 11 operating system,15.6,4.1,187.0,16.0,dell,intel,11,11,16,ssd,512.0
76519,64 bit windows 11 operating system,14.0,4.5,4.0,1.0,dell,intel,12,12,8,ssd,512.0
34990,windows 11 operating system,15.6,4.4,405.0,48.0,asus,amd,1,1,8,ssd,512.0
38029,64 bit windows 11 operating system,15.6,4.2,435.0,56.0,dell,amd,1,1,8,ssd,256.0
104990,mac os operating system,13.3,4.7,8865.0,795.0,apple,apple,1,1,8,ssd,512.0
25990,64 bit chrome operating system,14.0,4.2,24.0,4.0,hp,intel,1,1,4,ssd,512.0
23990,64 bit windows 10 operating system,15.6,3.7,3191.0,410.0,asus,intel,1,1,4,hdd,1000.0
31990,64 bit windows 11 operating system,15.6,4.4,385.0,34.0,acer,intel,11,11,8,ssd,256.0
49890,64 bit windows 11 operating system,15.6,4.2,17.0,3.0,dell,intel,11,11,16,ssd,512.0
74990,64 bit windows 11 operating system,14.0,4.2,10.0,1.0,asus,intel,12,12,8,ssd,512.0
60290,64 bit windows 11 operating system,15.6,4.3,43.0,4.0,dell,intel,11,11,8,ssd,512.0
126990,mac os operating system,13.3,4.7,719.0,83.0,apple,apple,1,1,16,ssd,512.0
60990,64 bit windows 11 operating system,15.6,4.5,5145.0,564.0,asus,intel,10,10,8,ssd,512.0
155490,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,1000.0
64990,64 bit windows 11 operating system,15.6,4.4,395.0,43.0,lenovo,intel,11,11,8,hdd ssd,1000.0
41490,64 bit windows 11 operating system,14.0,4.4,43.0,3.0,dell,amd,1,1,8,ssd,512.0
77990,windows 11 operating system,15.6,4.5,97.0,10.0,asus,intel,12,12,16,ssd,512.0
94500,64 bit windows 11 operating system,15.6,4.4,41.0,6.0,asus,intel,12,12,16,ssd,512.0
154990,windows 10 operating system,15.6,4.6,265.0,56.0,asus,amd,1,1,16,ssd,1000.0
168990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,12,12,16,ssd,512.0
63890,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,12,12,8,ssd,512.0
74990,64 bit windows 11 operating system,15.6,4.0,90.0,11.0,hp,intel,12,12,16,ssd,512.0
65990,64 bit windows 11 operating system,15.6,4.5,258.0,29.0,asus,amd,1,1,8,ssd,1000.0
114990,mac os operating system,13.3,4.7,784.0,87.0,apple,apple,1,1,8,ssd,256.0
63990,windows 11 operating system,15.6,4.5,313.0,31.0,acer,amd,1,1,16,ssd,512.0
80990,64 bit windows 11 operating system,15.6,4.6,21.0,3.0,msi,intel,12,12,16,ssd,512.0
97990,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,1000.0
39490,64 bit windows 11 operating system,15.6,4.4,80.0,11.0,hp,intel,11,11,8,ssd,256.0
281990,64 bit windows 11 operating system,15.6,5.0,4.0,0.0,asus,intel,12,12,32,ssd,1000.0
31561,windows 11 operating system,14.0,3.9,13.0,0.0,lenovo,intel,10,10,4,ssd,256.0
48990,64 bit windows 11 operating system,14.0,3.7,13.0,3.0,asus,intel,10,10,16,ssd,512.0
36990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,intel,11,11,8,ssd,256.0
66190,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,dell,intel,12,12,8,ssd,512.0
54990,64 bit windows 10 operating system,15.6,4.2,15492.0,2054.0,hp,amd,1,1,8,hdd,1000.0
243990,mac os operating system,16.2,4.8,119.0,14.0,apple,apple,1,1,16,ssd,1000.0
41890,64 bit windows 11 operating system,15.6,4.2,26.0,2.0,dell,amd,1,1,8,ssd,512.0
104990,64 bit windows 11 operating system,13.3,-1.0,-1.0,-1.0,asus,intel,11,11,16,ssd,512.0
42990,64 bit windows 11 operating system,15.6,4.4,1443.0,248.0,asus,intel,11,11,8,ssd,256.0
104990,64 bit windows 11 operating system,15.6,4.6,14.0,1.0,msi,intel,12,12,16,ssd,512.0
86490,64 bit windows 10 operating system,15.6,4.5,148.0,19.0,lenovo,intel,10,10,16,ssd,512.0
129990,64 bit windows 11 operating system,15.6,4.8,41.0,8.0,msi,amd,5,5,16,ssd,1000.0
52890,windows 11 operating system,15.6,3.8,5.0,1.0,dell,intel,11,11,8,ssd,512.0
71990,64 bit windows 11 operating system,16.1,-1.0,-1.0,-1.0,hp,amd,1,1,8,ssd,512.0
191990,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,asus,amd,1,1,32,ssd,1000.0
146990,64 bit windows 11 operating system,15.6,5.0,6.0,0.0,asus,amd,1,1,16,ssd,1000.0
109990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,hp,intel,12,12,16,ssd,1000.0
77990,64 bit windows 11 operating system,16.1,4.8,4.0,0.0,hp,amd,1,1,8,ssd,512.0
31490,64 bit windows 10 operating system,15.6,3.6,84.0,16.0,lenovo,amd,1,1,4,hdd,1000.0
39990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,lenovo,amd,1,1,8,ssd,512.0
61500,64 bit windows 10 operating system,14.0,4.5,29.0,6.0,acer,amd,1,1,8,ssd,512.0
57990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,acer,intel,12,12,8,ssd,512.0
131990,mac os operating system,13.6,-1.0,-1.0,-1.0,apple,apple,2,2,16,ssd,256.0
90390,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,9,9,16,ssd,1000.0
228928,64 bit windows 11 operating system,15.6,4.6,10.0,0.0,asus,intel,12,12,32,ssd,1000.0
345390,64 bit windows 10 operating system,15.6,4.6,10.0,3.0,alienware,intel,10,10,32,ssd,1000.0
62990,64 bit windows 10 operating system,14.0,3.8,17.0,3.0,dell,intel,10,10,8,ssd,512.0
174990,windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
61690,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,dell,intel,12,12,8,ssd,512.0
79990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,gigabyte,intel,12,12,16,ssd,512.0
75990,windows 11 operating system,15.6,4.3,222.0,25.0,acer,amd,1,1,16,hdd ssd,1000.0
129989,64 bit windows 11 operating system,16.0,4.7,32.0,5.0,lenovo,amd,1,1,16,ssd,1000.0
139990,mac os operating system,13.6,5.0,8.0,2.0,apple,apple,2,2,8,ssd,512.0
